"StationID","WQS_ID","Buffer Distance","Comments"
"9-BMK001.11","RL_09_040586",NA,NA
"9-WTK000.97","RL_09_040761",NA,NA
"9-BVR001.70","RL_09_048904",NA,NA
"9-BVR001.84","RL_09_048904",NA,NA
"9-LRV065.57","RL_09_051476",NA,NA
"9-HWL004.86","RL_09_045545",NA,NA
"9-LWF004.55","RL_09_050930",NA,NA
"9-DDD001.00","RL_09_050734",NA,NA
"9-XEM000.30","RL_09_047456",NA,NA
"9-BIC002.81","RL_09_048396",NA,NA
"9-LRV044.49","RL_09_050957",NA,NA
"9-NEW107.51","RL_09_040274",NA,NA
"9-BSH000.05","RL_09_049479",NA,NA
"9-MLC001.53","RL_09_048685",NA,NA
"9-LRV009.11","RL_09_048616",NA,NA
"9-LRV012.58","RL_09_048817",NA,NA
"9-LRV012.98","RL_09_048819",NA,NA
"9-BIC000.14","RL_09_048387",NA,NA
"9-LRV016.68","RL_09_048821",NA,NA
"9-LRV000.34","RL_09_048598",NA,NA
"9-BMK001.11","RL_09_040606",NA,NA
"9-LRV000.34","RL_09_048600",NA,NA
"9-PKC011.11","RL_09_040571",NA,NA
"9-PLK000.79","RL_09_040378",NA,NA
"9-PLK001.39","RL_09_040373",NA,NA
"9-TCK000.50","RL_09_040499",NA,NA
"9-PKC007.82","RL_09_040514",NA,NA
"9-PKC009.53","RL_09_040575",NA,NA
"9-PKC010.19","RL_09_040573",NA,NA
"9-VLY000.64","RL_09_040532",NA,NA
"9-XFQ000.77","RL_09_040557",NA,NA
"9-WLK030.56","RL_09_041710",NA,NA
"9-WLK033.29","RL_09_041200",NA,NA
"9-WLK033.90","RL_09_041251",NA,NA
"9-BCK015.88","RL_09_041289",NA,NA
"9-LWK004.04","RL_09_041470",NA,NA
"9-LWK013.93","RL_09_039597",NA,NA
"9-LWK023.25","RL_09_038021",NA,NA
"9-LWK014.95","RL_09_039475",NA,NA
"9-LWK000.77","RL_09_042193",NA,NA
"9-WLK016.94","RL_09_042214",NA,NA
"9-BMK001.11","RL_09_040652",NA,NA
"2-DCK003.58","RL_2A_066160",NA,NA
"2-CRG074.47","RL_2A_064890",NA,NA
"2-CRG062.29","RL_2A_066094",NA,NA
"2-XRD001.28","RL_2A_065865",NA,NA
"2-CAT025.14","RL_2A_069236",NA,NA
"2-CAT026.29","RL_2A_068099",NA,NA
"2-CAT027.64","RL_2A_068276",NA,NA
"2-HAM000.37","RL_2A_068201",NA,NA
"2-LTQ000.64","RL_2A_069195",NA,NA
"2-DCK003.94","RL_2A_066160",NA,NA
"2-JOB029.50","RL_2A_064658",NA,NA
"2-JOB030.92","RL_2A_064537",NA,NA
"2-CRG053.15","RL_2A_066629",NA,NA
"4AELK005.44","RL_4A_045779","Manual Review | 40 m","Manual Accept | "
"4APRS008.76","RL_4A_045704","Manual Review | 20 m","Manual Accept | "
"4ALDR002.61","RL_4A_044191","Manual Review | 40 m","Manual Accept | "
"4ADAN169.57","RL_4A_044094","Manual Review | 40 m","Manual Accept | "
